frames,return
0.0,12.685456252989727
1000.0,29.517252624305762
2000.0,268.98657130347726
3000.0,341.7693345621087
4000.0,282.86296200330383
5000.0,312.8165260892517
6000.0,222.94958699893903
7000.0,198.4321433796224
8000.0,320.15556106778206
9000.0,25.223019670480596
10000.0,446.41211152386825
11000.0,512.5211940191996
12000.0,76.20710212898905
13000.0,459.81252957230345
14000.0,319.9268050232727
15000.0,236.85192664288718
16000.0,299.7635913411241
17000.0,343.0075483468168
18000.0,248.57198898678644
19000.0,463.5395397358996
20000.0,206.32474579619497
21000.0,132.3554035079349
22000.0,309.30761832740353
23000.0,264.61292010641534
24000.0,273.17259772502166
25000.0,257.66482059639975
26000.0,484.34565704415076
27000.0,301.74974625883465
28000.0,211.1838937091184
29000.0,333.310191219033
30000.0,510.43736845384103
31000.0,406.5026946494189
32000.0,310.4214556715435
33000.0,599.2021370276334
34000.0,869.0508379329481
35000.0,245.16302710876323
36000.0,379.9994669091445
37000.0,498.6573753727908
38000.0,492.58956521557377
39000.0,213.7411682428775
40000.0,212.06919217886144
41000.0,408.7737328675452
42000.0,296.6605576040233
43000.0,310.3660430408411
44000.0,538.9178798583224
45000.0,278.32034099119227
46000.0,426.63535489737154
47000.0,468.78129162112157
48000.0,580.6468336020476
49000.0,989.0467164473084
50000.0,964.4943648113733
51000.0,356.97134193688333
52000.0,87.79659025771022
53000.0,259.4442552452411
54000.0,149.47481051676363
55000.0,392.26932876241756
56000.0,941.0195865856053
57000.0,263.585668789632
58000.0,540.5746412193002
59000.0,614.5718865287045
60000.0,419.07586326581634
61000.0,579.1665143252699
62000.0,584.9821841425324
63000.0,256.42660887115414
64000.0,568.9517186192393
65000.0,202.4409188470501
66000.0,160.0731188183635
67000.0,448.00051065984076
68000.0,432.83499752505776
69000.0,97.00252409887987
70000.0,153.85785536844116
71000.0,1344.6655268682257
72000.0,391.00850638265723
73000.0,1515.7952065604868
74000.0,221.92770351353235
75000.0,661.2186673279664
76000.0,1063.937634170207
77000.0,1150.0085244159638
78000.0,462.1246617950374
79000.0,869.1141848087314
80000.0,353.21221726503643
81000.0,182.07381512752772
82000.0,868.8127047408643
83000.0,247.19186623348412
84000.0,907.8361978448635
85000.0,351.49844359687415
